,Naam,Gemeente,"Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Omzet
EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",WCM - Naam,Telefoon,E-mail adres,"BvD ID
nummer","Netto toegevoegde waarde
EUR
Laatst beschikb. jr",Ondernemingsnummer,Adres,Postcode,Web adres,"Ibid, omschrijving",Beursnotatie
11,FLANDERS FOOD PRODUCTIONS,LOMMEL,57,96733673,22122118,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0860605279,7300925,0860 605 279,John Cockerillstraat 87,3920,,Groothandel in zuivelproducten en eieren,Niet beursgenoteerd
12,HOUBEN,HASSELT,104,95072186,38583983,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 26 96 00,,BE0416669933,5657150,0416 669 933,Prins-Bisschopssingel 36 b.5,3500,,Algemene bouw van andere niet-residentiële gebouwen,Niet beursgenoteerd
13,RAJAPACK BENELUX,TONGEREN,185,87906628,38829847,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 26 02 60,sales@binpac.be,BE0432683445,21765137,0432 683 445,Vrijheidweg 8,3700,www.binpac.be,"Groothandel in andere intermediaire producten, n.e.g.",Niet beursgenoteerd
14,PURMO GROUP BELGIUM,ZONHOVEN,216,85334971,25358326,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 81 31 41,info@radson.be,BE0401340765,18802304,0401 340 765,Vogelsancklaan 250,3520,www.radson.com,Vervaardiging van radiatoren en ketels voor centrale verwarming,Niet beursgenoteerd
15,DEXIS BELGIUM,HASSELT,117,81258545,22368466,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 28 82 22,info.antwerpen@imes.be,BE0446444775,14906370,0446 444 775,Voogdijstraat 33,3500,www.imes.be,Groothandel in gereedschapswerktuigen,Niet beursgenoteerd
16,EFTEC,GENK,87,78583607,30775378,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 65 14 00,,BE0424862077,14530655,0424 862 077,Henry Fordlaan 1,3600,www.eftec.ch,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek",Niet beursgenoteerd
17,CAPRA,HALEN,99,78097178,29390710,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 46 17 99,capra@wol.be,BE0446038167,9119682,0446 038 167,Stadsbeemd 1021,3545,,Zuivelfabrieken en kaasmakerijen,Niet beursgenoteerd
18,ROYAL CROWN,GENK,22,77788812,10331180,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 50 07 00,,BE0456994120,3138349,0456 994 120,Lantmeetersweg 4 6,3600,www.crownroyal.com,Cafés en bars,Niet beursgenoteerd
19,MATHIEU GIJBELS,OUDSBERGEN,206,77226316,24157753,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 81 91 00,company@gijbels.be,BE0413753894,17063857,0413 753 894,Industrieweg-Noord 1161,3660,www.gijbels.be,Algemene bouw van andere niet-residentiële gebouwen,Niet beursgenoteerd
20,BECHTLE DIRECT,PELT,65,74951308,15722817,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 80 90 11,direct@bechtle.be,BE0472542923,6432547,0472 542 923,Knooppunt 6,3910,www.bechtle.com,"Groothandel in computers, randapparatuur en software",Niet beursgenoteerd
21,PAESEN BOUWEXPO,PEER,47,74911002,31567744,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 66 55 54,info@paesen.be,BE0423217532,4630368,0423 217 532,Steenweg Linde 55,3990,,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
22,KRAMP,LUMMEN,48,74237083,8338894,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 53 11 11,,BE0444638397,5495644,0444 638 397,Klaverbladstraat 24,3560,,"Groothandel in machines, werktuigen en toebehoren voor de  landbouw",Niet beursgenoteerd
23,JANS BUILDING DISTRIBUTION,KERMT,118,73115870,26906559,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 25 17 28,info@jan.be,BE0400953260,10184126,0400 953 260,Lummense Kiezel 78,3510,,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
24,BUILDING GROUP JANSEN,OUDSBERGEN,159,71929663,34603318,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 79 92 00,info@jansen-meeuwen.be,BE0412003045,8903767,0412 003 045,Fabriekstraat 2,3670,www.jansen-meeuwen.be,Overige werkzaamheden in verband met de afwerking van gebouwen,Niet beursgenoteerd
25,VANHOUT BILZEN,MUNSTERBILZEN,110,71716943,20865584,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 51 90 80,,BE0415061515,5342250,0415 061 515,Taunusweg 49,3740,www.heijmans.be,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
26,MOBILE VIKINGS,HASSELT,71,66542921,29359889,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 71 74 34,,BE0886946917,20696215,0886 946 917,Kempische Steenweg 309 b.1,3500,unleashed.be,Overige telecommunicatie,Niet beursgenoteerd
27,VARESA,LOMMEL,15,66234442,15095497,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 62 17 33,info@varesa.be,BE0421468661,1812657,0421 468 661,Ondernemersstraat 32,3920,www.varesa.be,"Groothandel in dranken, algemeen assortiment",Niet beursgenoteerd
28,DAVO TONGEREN,TONGEREN,60,63629793,21015522,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 23 71 55,info@davo.net.bmw.be,BE0438056750,4938072,0438 056 750,Maastrichtersteenweg 529,3700,www.davo.bmw.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
29,BELGIAN MILK COMPANY,ZONHOVEN,2,63378027,8138966,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 81 91 20,,BE0428269648,166952,0428 269 648,Genkerbaan 73,3520,,Groothandel in zuivelproducten en eieren,Niet beursgenoteerd
30,BOUWBEDRIJF DETHIER,ALKEN,112,61162928,18869305,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 59 19 93,info@bouwbedrijf-dethier.be,BE0421519933,7728127,0421 519 933,Industrieter. Kolmen 1107,3570,www.bouwbedrijf-dethier.be,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
31,SCANDINAVIAN TOBACCO GROUP BELUX,LUMMEN,29,60619678,33074298,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 25 13 00,,BE0871121960,3354719,0871 121 960,Dellestraat 12 A,3560,www.henriwintermans.com,Groothandel in tabaksproducten,Niet beursgenoteerd
32,ALGEMENE ONDERNEMING M.VANDERSTRAETEN,LUMMEN,128,60318551,36882081,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 43 14 12,info@vanderstraeten.be,BE0400983152,8246254,0400 983 152,Europaweg 11,3560,www.vanderstraete.be,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
33,MARTIN MATHYS,ZELEM,165,59090527,35143172,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 478 228 399,info.be@ro-m.com,BE0437896404,17877254,0437 896 404,Kolenbergstraat 23,3545,www.ro-m.com/,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek",Niet beursgenoteerd
34,PROTEC,PELT,168,58211213,25197739,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 80 98 09,info@profel.be,BE0429197086,12299474,0429 197 086,Europalaan 17,3900,,Vervaardiging van ijzer en staal en van ferrolegeringen,Niet beursgenoteerd
35,REZINAL,ZOLDER,64,57929182,40140730,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 52 17 81,info@rezinal.be,BE0414089040,3030986,0414 089 040,Dellestraat 17,3550,www.rezinal.be,Terugwinning van metaalafval,Niet beursgenoteerd
36,STEVENS RECYCLING,GENK,43,57462532,22236103,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 35 27 93,,BE0425029056,3766798,0425 029 056,Swinnenwijerweg 26,3600,,Groothandel in ijzer- en staalschroot en in oude non-ferrometalen,Niet beursgenoteerd
37,PHARMA BASE,GENK,15,56752599,18338183,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 39 51 10,,BE0441943282,1324767,0441 943 282,Seinhuisstraat 7 b.1,3600,,Groothandel in farmaceutische producten,Niet beursgenoteerd
38,GROUP A,HASSELT,25,56491269,29567130,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 21 00 98,info@belisol.com,BE0417514724,3643017,0417 514 724,Luikersteenweg 254,3500,www.belisol.be,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
39,ELLIMETAL,OUDSBERGEN,185,56402379,39899822,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 61 01 61,,BE0432858639,14055950,0432 858 639,Schutterslaan 7,3670,www.ellimetal.com,Vervaardiging van metalen constructiewerken en delen daarvan,Niet beursgenoteerd
40,CLAES DISTRIBUTION,PAAL,74,55935280,26634532,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 45 62 00,info@fransclaes.be,BE0429732170,11717014,0429 732 170,Beverlosesteenweg 128,3583,www.fransclaes.be,"Groothandel in andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
41,ULTRAPOLYMERS GROUP,LOMMEL,13,55831089,42504936,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 57 95 57,ultra@ultrapolymers.com,BE0478392914,2054635,0478 392 914,Gerard Mercatorstraat 90,3920,www.ultrapolymers.com,"Groothandel in andere intermediaire producten, n.e.g.",Niet beursgenoteerd
42,DYKA PLASTICS,PELT,179,55232557,30412618,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 80 04 20,dyka.be@dyka.com,BE0414467340,14538765,0414 467 340,Stuifzandstraat 47,3900,www.dyka.com,Vervaardiging van kunststofartikelen voor de bouw,Niet beursgenoteerd
43,MASTER BUILDERS SOLUTIONS BELGIUM,OOSTHAM,33,55001791,33256371,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 34 04 34,,BE0729676164,14442464,0729 676 164,Nijverheidsweg 89,3945,,Overige gespecialiseerde wetenschappelijke en technische activiteiten,Niet beursgenoteerd
44,YVES MAES,TESSENDERLO,144,53583280,33623279,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 31 48 66,,BE0861494216,15916180,0861 494 216,Ravenshout 2002,3980,www.containersmaes.be,Overige verwerking en verwijdering van ongevaarlijk afval,Niet beursgenoteerd
45,PETER BECKERS,GENK,35,52608883,14503425,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 32 22 10,,BE0424710936,4628854,0424 710 936,Bosdel 64,3600,www.beckers.bmw.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
46,ROBA METALS,GENK,26,52337384,36152718,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 32 97 40,info@robametals.com,BE0400974739,3640671,0400 974 739,Slingerweg 31,3600,www.robametals.com,Groothandel in metalen en metaalertsen,Niet beursgenoteerd
47,EBEMA,ZUTENDAAL,154,51697620,28493011,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 61 00 80,info@falcon.be,BE0435450717,11751707,0435 450 717,Dijkstraat 3,3690,www.ebema.be,Groothandel in overige bouwmaterialen,Niet beursgenoteerd
48,MEDIA MARKT TWEE TORENS HASSELT,HASSELT,36,51631610,16264164,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 68 18 61,,BE0860056933,2206600,0860 056 933,Biezenstraat 51,3500,,Detailhandel in elektrische huishoudapparaten in gespecialiseerde winkels,Niet beursgenoteerd
49,PAESMANS,HASSELT,56,51311978,14774462,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 24 09 00,,BE0465109555,3516574,0465 109 555,Gouverneur Roppesingel 2,3500,www.renault.be,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
50,IMPERMO - STULTJENS,SINT-TRUIDEN,90,50781532,21119147,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 68 10 26,info@impermo.be,BE0408286856,9113738,0408 286 856,Tiensesteenweg 127,3800,www.impermo.be,Detailhandel in wand- en vloertegels in gespecialiseerde winkels,Niet beursgenoteerd
51,ACCELL BELGIE,KOERSEL,11,49815295,10682123,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0825594021,2070124,0825 594 021,Koolmijnlaan 201,3582,,Groothandel in fietsen,Niet beursgenoteerd
52,COOX MOTORS,REKEM,37,49622878,11352814,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 71 44 41,,BE0885702446,2698311,0885 702 446,Steenweg 102,3621,www.coox-motors.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
53,BALAK COATINGS,PELT,51,49231045,21407189,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 80 99 00,info@balak.com,BE0452884882,10355641,0452 884 882,Europalaan 31,3900,,Oppervlaktebehandeling van metalen,Niet beursgenoteerd
54,CLAES & ZONEN SINT-TRUIDEN,SINT-TRUIDEN,48,48688410,19604117,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 69 74 30,,BE0437160687,4111625,0437 160 687,Industrielaan 3310,3800,www.claesenzonen.mercedes-benz.be,"Algemeen onderhoud en reparatie van auto's en lichte bestelwagens (? 3,5 ton)",Niet beursgenoteerd
55,NELISSEN STEENFABRIEKEN,LANAKEN,129,48329716,66039237,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 44 02 44,info@nelissen.be,BE0401333639,19368798,0401 333 639,Kiezelweg 458,3620,www.nelissen.be,Vervaardiging van bakstenen,Niet beursgenoteerd
56,HORMANN BELGIUM,TONGEREN,70,47960940,26124250,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 39 92 22,,BE0417609051,6216556,0417 609 051,Vrijheidweg 13,3700,www.hormann.be,"Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
57,VAN OSCH HASSELT,HASSELT,44,47921414,18475385,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 21 15 10,info@vanoschhasselt.net.bmw.be,BE0474197465,2021399,0474 197 465,Scheepvaartkaai 14,3500,www.dealer.bmw.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
58,STEINZEUG - KERAMO,HASSELT,152,47164638,31651285,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 21 02 32,keramo@keramo-steinzeug.be,BE0424745281,11057144,0424 745 281,Paalsteenstraat 36,3500,www.steinzeug.com,"Vervaardiging van dakpannen, tegels en andere producten voor de bouw van gebakken klei",Niet beursgenoteerd
59,SADEPAN CHIMICA,GENK,43,47092489,48703220,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 36 07 20,info@sadepanchimica.be,BE0475638213,8638215,0475 638 213,Henry Fordlaan 68,3600,www.sadepanchimica.com,Vervaardiging van lijm,Niet beursgenoteerd
60,VAN MOSSEL PCK,HASSELT,39,47021771,21614170,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 27 30 31,limauto.hasselt@peugeot.be,BE0418744446,2612827,0418 744 446,Hellebeemden 2A,3500,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
61,AUTONEUM BELGIUM,GENK,229,46849707,28081102,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 75 48 07,,BE0438839381,12769194,0438 839 381,Oosterring 14,3600,www.rieter.com,Vervaardiging van vloerkleden en tapijt,Niet beursgenoteerd
62,EDIBO,LOMMEL,81,46820289,18410727,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 54 11 59,info@edibo.be,BE0421264763,9160467,0421 264 763,Maatheide 74,3920,www.edibo.be,Algemene bouw van andere niet-residentiële gebouwen,Niet beursgenoteerd
63,POLYPREEN BELGIE,LOMMEL,159,46163097,24064465,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 54 90 00,,BE0401339280,12373996,0401 339 280,Kerkhovensesteenweg 88,3920,www.polypreen.be,Vervaardiging van matrassen,Niet beursgenoteerd
64,NICOLAI FRUIT,BORGLOON,17,45540490,13135006,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 26 01 80,,BE0451421271,5176041,0451 421 271,Kernielerweg 59 b.N,3840,www.nicolaifruit.be,"Groothandel in groenten en fruit, m.u.v. consumptieaardappelen",Niet beursgenoteerd
65,EUROFOOD BELGIUM,HASSELT,105,45375169,142200764,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 28 10 00,info@eurofood.be,BE0450846397,4421696,0450 846 397,Research Campus 6,3500,www.eurofoodbelgium.com,Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding,Niet beursgenoteerd
66,GARAGE MICHEL,TONGEREN,31,44218378,10313973,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 39 08 50,,BE0860890143,2632311,0860 890 143,Luikersteenweg 204,3700,,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
67,TOSOH EUROPE,TESSENDERLO,48,43993803,74457053,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 66 88 30,info.diag.eu@tosohbioscience.com,BE0425952041,18019583,0425 952 041,Transportstraat 4,3980,www.tosohbioscience.com,Detailhandel in medische en orthopedische artikelen in gespecialiseerde winkels,Niet beursgenoteerd
68,EDUARDS TRAILER FACTORY,LOMMEL,58,43862654,16887241,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 14 82 01 15,saris@eduard.nl,BE0474847167,5966863,0474 847 167,Antoine César Becquerelstr 11,3920,www.remorques-eduard.be,"Handel in aanhangwagens, opleggers en caravans",Niet beursgenoteerd
69,WIJCKMANS,KWAADMECHELEN,37,43744872,19781170,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 66 10 21,info@wijckmans.be,BE0411937224,5031587,0411 937 224,Zwartenhoekstraat 1,3945,www.wijckmans.be,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
70,IZICO BOCHOLT,BOCHOLT,133,43470583,25178675,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 46 03 60,,BE0416166424,10852314,0416 166 424,Goolderheideweg 23,3950,,Vervaardiging van producten van vlees of van vlees van gevogelte,Niet beursgenoteerd
71,TECTUM DISTRIBUTIECENTRUM,GENK,6,43270139,16052293,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0630692812,615788,0630 692 812,Troisdorflaan 6,3600,,Handelsbemiddeling in hout en bouwmaterialen,Niet beursgenoteerd
72,BELIEN NEERPELT,PELT,31,43176745,11063918,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 66 85 80,info@belien.net.bmw.be,BE0438450094,2848699,0438 450 094,Hamonterweg 100,3910,www.bmw.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
73,HODLMAYR LOGISTICS BELGIUM,TONGEREN,173,42429351,18935437,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 39 07 00,,BE0434965420,10684846,0434 965 420,Prinsenweg 2,3700,,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
74,P&V PANELS,ZOLDER,201,42417599,19644531,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 477 513 101,,BE0838329428,12662340,0838 329 428,Industrieweg 10,3550,,"Groothandel in elektrisch materiaal, inclusief installatiemateriaal",Niet beursgenoteerd
75,HORECA VAN ZON,LOMMEL,47,41609403,32269443,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 44 07 49,info@vanzon.be,BE0419131456,3714751,0419 131 456,J. en R. Vlegelsstraat 7,3920,www.vanzon.be,"Groothandel in andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
76,UC LIMBURG,DIEPENBEEK,124,41375447,71934197,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 18 05 00,,BE0417195515,38681161,0417 195 515,Agoralaan  b.1,3590,,Officieel hoger onderwijs,Niet beursgenoteerd
77,C.P.E.,GENK,40,41338163,16617205,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 62 95 63,info@cpe.be,BE0434353726,5712312,0434 353 726,Troisdorflaan 6,3600,www.cpe.be,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
78,BERRYMARK,SINT-TRUIDEN,2,41134653,14509649,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 63 74 32,,BE0825594912,4124651,0825 594 912,Nijverheidslaan 5120,3800,www.fruitmark.com,Niet-gespecialiseerde groothandel in diepgevroren voedingsmiddelen,Niet beursgenoteerd
79,WOUTIM,PEER,71,40851944,8182362,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 61 08 08,,BE0419904981,7739548,0419 904 981,Nijverheidsstraat 7,3990,www.woutim.be,Schilderen van gebouwen,Niet beursgenoteerd
80,MARLUX-STRADUS,TESSENDERLO,127,40749885,66593430,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 67 91 00,marlux@skynet.be,BE0439579056,7155865,0439 579 056,Albertkade 3,3980,www.crh.ie,Vervaardiging van artikelen van beton voor de bouw,Niet beursgenoteerd
81,JABIL CIRCUIT BELGIUM,HASSELT,143,40408374,20635395,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 30 24 22,,BE0477940081,24671936,0477 940 081,Kempische Steenweg 297,3500,www.jabil.com,Overige gespecialiseerde wetenschappelijke en technische activiteiten,Niet beursgenoteerd
82,ARTE,ZONHOVEN,101,40353524,25364885,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 81 93 00,info.belgium@arte-international.com,BE0421929907,13685334,0421 929 907,Senator A. Jeurissenlaan 1210,3520,www.arte-international.com,"Groothandel in behang, verf en woningtextiel",Niet beursgenoteerd
83,BERGHOFF WORLDWIDE,ZOLDER,35,39629523,39236796,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 35 86 00,,BE0453048495,7583992,0453 048 495,Boterbosstraat 6 b.1,3550,www.berghoff.be,Groothandel in niet-elektrische huishoudelijke artikelen,Niet beursgenoteerd
84,ARCOMET SERVICE,PAAL,142,39599110,103610426,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 45 09 00,,BE0451371385,17289728,0451 371 385,Industrieweg 139,3583,www.arcomet.com,"Vervaardiging van hijs-, hef- en transportwerktuigen",Niet beursgenoteerd
