,Naam,Gemeente,"NACE BEL 2008,
primaire code","Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Turnover LY
dz EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",Ondernemingsnummer,Postcode,Adres,Telefoon,Web adres,E-mail adres
22.,GOVERNMENT LOGISTICS,ZWIJNDRECHT,52290,27,"166,696","18,580,592",0428 724 855,2070,Leo Metsstraat 2,+32 3 360 56 16,www.iffs.be,
23.,COMMON MARKET MEAT COMPANY,MEER,10110,89,"162,969","29,165,604",0406 983 195,2321,John Lijsenstraat 55,+32 3 315 77 52,www.comeco.be,info@comeco.be
24.,VAN MOSSEL VMF BELGIE,DEURNE,45113,173,"161,509","33,860,873",0432 452 724,2100,Bisschoppenhoflaan 515,+32 3 360 50 81,,ford@denayer.net
25.,DEMAROL BELGIE,LUMMEN,46710,20,"156,841","17,222,521",0878 684 002,3560,Lindekensveld 5 b.1.1,+32 11 45 85 30,,
26.,CENTRAUTO,WIJNEGEM,45113,116,"156,573","31,367,912",0420 004 951,2110,Willem van Halmalelaan 1,+32 3 320 83 20,www.centrauto.bmw.be,asc.nv@pandora.be
27.,QUARTES,DEINZE,10910,71,"155,083","42,575,783",0828 300 519,9800,Kapellestraat 71-73,+32 11 26 35 70,,
28.,MECHEL SERVICE BELGIUM,BERCHEM-ANTWERPEN,46720,15,"153,880","22,508,206",0820 534 876,2600,Generaal Lemanstraat 74,+32 3 259 02 00,,
29.,ANDREAS STIHL,PUURS-SINT-AMANDS,46610,75,"150,788","41,289,062",0427 714 768,2870,Veurtstraat 117,+32 52 30 00 80,www.stihl.be,info@stihl.be
30.,PRESS SHOP AND MORE,STROMBEEK-BEVER,47620,90,"149,377","29,143,620",0403 517 327,1853,Boechoutlaan 55,+32 2 422 29 10,www.press-shop.be,
31.,EUROPEAN TECHNICAL TRADING,DRONGEN,46510,14,"149,099","2,845,658",0677 702 574,9031,Booiebos 24,,www.ett.be,info@ett.be
32.,ANDEX-RENT,VIERSEL,45111,13,"148,880","11,804,414",0837 078 623,2240,Veerstraat 203,+32 3 345 48 45,andex-rent.be,
33.,FERROMAC INTERNATIONAL,ANTWERPEN,46120,13,"148,121","28,477,190",0826 790 881,2000,Frankrijklei 112 b.6,+32 3 808 35 86,ferromac.com,
34.,CROP'S COLD STORE,OOIGEM,46389,230,"146,573","30,770,463",0650 660 657,8710,Oostrozebeeksestraat 148,+32 56 67 63 67,,
35.,SHIPEX,ANTWERPEN,52290,45,"146,562","25,683,880",0423 055 897,2060,IJzerlaan 54-56,,www.shipex.be,info@shipex.be
36.,ARTECO,SCHOTEN,46751,62,"143,798","42,743,358",0463 801 936,2900,Metropoolstraat 25,+32 9 397 06 00,www.arteco-coolants.com,arteco@chevrontexaco.com
37.,VAN RAAK DISTRIBUTIE,WEELDE,46710,11,"142,538","32,755,785",0432 975 633,2381,Toekomststraat 1,+32 14 65 53 30,www.vanraak.be,info@vanraak.be
38.,DAIKIN AIRCONDITIONING BELGIUM,OOSTENDE,46693,150,"141,489","40,059,897",0422 832 403,8400,Zandvoordestraat 300,+32 10 23 72 23,,info@daikin.be
39.,GREENYARD FRESH DIRECT BELGIUM,SINT-KATELIJNE-WAVER,46319,14,"140,601","10,599,665",0445 993 825,2860,Drevendaal 1,+32 14 22 28 53,www.benfresh.be,info@benfresh.be
40.,ARPADIS BENELUX,ANTWERPEN,46751,10,"140,343","26,513,597",0842 109 557,2018,Desguinlei 88 A,+32 3 206 93 70,www.arpadis.com,
41.,POSTNL PAKKETTEN BELGIE,TURNHOUT,53200,204,"140,284","24,864,784",0862 743 833,2300,Bremheidelaan 10,+32 15 48 02 85,,
42.,PRIK & TIK,LOMMEL,46349,12,"135,134","21,523,408",0425 835 245,3920,Gerard Mercatorstraat 85,+32 11 80 88 20,www.prikentik-uw-drankenspecialist.be,info@prikentik.com
43.,DISTEEL,SCHOTEN,46720,111,"133,729","41,644,082",0401 546 445,2900,Metropoolstraat 19,,www.disteel.be,
44.,CROP'S FRUITS,OOIGEM,46391,20,"132,043","35,347,447",0650 660 459,8710,Oostrozebeeksestraat 148,,,
45.,ARDO,ARDOOIE,46391,25,"130,986","16,715,070",0433 803 794,8850,Wezestraat 61,+32 51 31 06 21,www.ardo.com,
46.,MEAT & MORE,AALTER,10130,235,"130,867","34,852,889",0866 771 016,9880,Groendreef 10,+32 9 216 73 29,,
47.,FLANDERS FOOD PRODUCTIONS,LOMMEL,46331,74,"129,155","29,761,905",0860 605 279,3920,John Cockerillstraat 87,+32 11 60 46 66,,
48.,VIESSMANN-BELGIUM,NOSSEGEM,46742,167,"128,556","35,031,532",0402 475 962,1930,Hermesstraat 14,+32 15 63 47 07,www.viessmann.be,info@viessmann.be
49.,ALTRIPAN,ANTWERPEN,46732,18,"127,884","37,186,521",0406 393 475,2030,Luithagen-Haven 19,+32 3 542 61 60,www.altripan.be,info@altripan.be
50.,DSP FOOD,GENT,46319,17,"127,755","15,678,818",0441 868 157,9000,Korenlei 21 A,+32 56 75 57 58,,
51.,CAMPINE RECYCLING,BEERSE,24430,75,"127,226","42,135,217",0474 955 451,2340,Nijverheidsstraat 2,+32 14 60 15 97,www.campine.be,
52.,CARCONNEX,TIENEN,45113,16,"125,441","16,567,941",0860 353 277,3300,Grijpenlaan 19,+32 495 795 693,,
53.,"TETRA PAK, BELGIUM",GROOT-BIJGAARDEN,46699,74,"125,307","24,218,848",0400 704 624,1702,Alfons Gossetlaan 28A,+32 2 467 68 11,www.tetrapak.nl,info.be@tetrapak.com
54.,DEJONCKHEERE,ROESELARE,45113,54,"124,909","28,249,639",0420 313 173,8800,Oostnieuwkerksesteenweg 136,+32 51 22 70 22,www.bmw.be,info@hindrickx.net.bmw.be
55.,COVAMEAT,WIJTSCHATE,10110,138,"124,821","25,559,460",0406 969 141,8953,Komenstraat 73,+32 57 45 25 00,www.covameat.be,info@covameat.be
56.,DELAVI,TIELT,10110,51,"124,804","13,262,960",0437 565 911,8700,Tenhovestraat 10,+32 51 40 70 25,www.delavi.be,info@delavi.be
57.,COVETRUS,PAAL,46460,65,"123,111","24,339,573",0429 026 446,3583,Industrieweg 135 b.1,+32 11 45 07 17,www.verdifarm.be,verdifarm@verdifarm.be
58.,PLUIMVEEHANDEL HAERINCK,INGOOIGEM,49410,53,"121,182","6,772,515",0440 430 775,8570,Huttegem 8,+32 56 60 17 27,,
59.,ASAMCO,BORNEM,46741,17,"121,014","8,242,996",0420 823 513,2880,Woestijnstraat 13,+32 3 897 11 50,www.asamco.be,info@asamco.be
60.,VAN HOECKE,SINT-NIKLAAS,46741,114,"120,825","32,786,485",0440 085 040,9100,Europark-Noord 9,+32 3 760 19 00,www.vanhoecke.be,
61.,LIFE SUPPLIES,OLEN,46900,24,"120,502","39,116,724",0413 458 441,2250,Industrielaan 25,+32 14 57 81 17,www.life-supplies.com,info@life-supplies.com
62.,PANIFLOWER,MERKSEM,10610,107,"119,599","26,841,432",0403 722 116,2170,Westkaai 1,+32 3 641 90 20,,
63.,LORNOY,GEEL,10110,20,"119,061","22,962,060",0404 170 987,2440,Winkelom 52,+32 14 58 81 78,www.lornoy-sport.be,lornoy@lornoy.be
64.,ECU WORLDWIDE (BELGIUM),ANTWERPEN,52290,103,"118,876","42,928,645",0432 713 931,2030,Schomhoeveweg 15,+32 3 541 24 66,www.ecuworldwide.com,info@eculine.be
65.,UNILIN RESINS,GENT,20520,30,"117,685","31,937,096",0441 306 943,9042,Moervaartkaai 7,+32 9 342 34 30,www.dynea.com,dynea@dynea.com
66.,LIMELCO,ZONHOVEN,10510,152,"117,555","40,205,002",0449 994 084,3520,Genkerbaan 71-75,+32 11 19 64 98,www.limelco.be,info@limelco.be
67.,CASIER RECYCLING,DEERLIJK,38322,42,"115,145","37,241,071",0462 169 762,8540,Sint-Elooistraat 2,+32 56 77 61 52,www.casier.com,info@casier.com
68.,PLUIMVEESLACHTERIJ COOREMAN,DENDERMONDE,01471,10,"114,992","31,255,299",0478 848 814,9200,Wissenstraat 7,+32 52 21 89 97,,
69.,UPFRESH,OOSTENDE,46321,106,"114,350","31,486,217",0405 252 241,8400,Zandvoordestraat 370,+32 59 80 47 47,www.depuydt.be,info@depuydt.be
70.,BELGIAN TRADING AND BUNKERING,ANTWERPEN,46900,20,"113,940","14,683,777",0458 116 944,2030,Asiadok-Oostkaai 28 D,+32 3 201 28 63,www.btb-bunkering.com,
71.,BETCENTER GROUP,HASSELT,92000,133,"113,602","21,680,719",0877 184 856,3500,Leopoldplein 16 b.2,+32 468 519 523,www.betcentershops.be,
72.,REUSE TRADING,BORGERHOUT,46499,14,"112,390","35,245,533",0627 682 941,2140,Te Boelaarlei 37,+32 16 47 47 89,reuse.be,
73.,HAVI LOGISTICS,OLEN,52100,97,"111,858","25,180,187",0456 503 279,2250,Lammerdries 32,+32 14 25 81 11,www.mls.be,info@mls.be
74.,CLDN CARGO,ZEEBRUGGE,52290,76,"111,139","30,170,966",0475 233 187,8380,Alfred Ronsestraat 100,+32 50 50 22 50,,
75.,DEBRAMEAT,TIELT,46321,35,"108,793","11,300,940",0419 684 158,8700,Hoogserleistraat 3,+32 51 40 06 73,,debra@skynet.be
76.,ELINDUS,WAREGEM,35140,28,"107,382","31,918,623",0844 206 143,8790,Meersstraat 13 b.2.1,+32 56 49 48 42,www.elindus.be,
77.,VOEDERS DECADT,OOSTNIEUWKERKE,10910,25,"106,850","26,430,785",0423 603 651,8840,Meulebroekenlaan 21,+32 51 20 38 66,www.decadt.be,info@decadt.be
78.,GERARD VAN LANDSCHOOT & ZONEN,ADEGEM,10110,132,"106,580","16,339,727",0447 662 522,9991,Prins Boudewijnlaan 22,+32 50 71 16 27,www.gvanlandschoot.be,
79.,GEBERIT,MEISE,46736,58,"106,446","21,655,651",0408 463 337,1860,Ossegemstraat 24,+32 2 252 01 11,www.geberit.be,info@geberit.be
80.,BIOGEN BELGIUM,DIEGEM,46460,45,"106,215","35,508,888",0462 285 469,1831,Culliganlaan 2,+32 2 219 12 18,,
81.,BEPRO,GEEL,10910,38,"106,060","27,412,392",0432 893 578,2440,Kalverstraat 1,+32 14 58 02 22,,
82.,HEDIN AUTOMOTIVE,SINT-NIKLAAS,45113,93,"104,253","40,959,340",0740 526 506,9100,Industriepark-Noord 2,+32 3 777 99 99,www.hedinautomotive.be,
83.,BMB BOUWMATERIALEN,HAMME (VL.),46731,193,"104,214","40,410,914",0421 683 744,9220,Theet 45/A,+32 52 47 87 54,www.halschoor.be,info@halschoor.be
84.,SMT BELGIUM,VILVOORDE,45193,127,"103,996","31,550,340",0434 815 960,1800,Woluwelaan 9,+32 2 254 14 11,www.vcmbelgium.be,info@vcmbelgium.be
85.,AUTONATIE,ANTWERPEN,45113,81,"103,506","16,709,734",0441 151 248,2030,Groenendaallaan 397,+32 3 231 59 30,www.beerens.be,
86.,ROCKWOOL BELGIUM,WIJNEGEM,46739,164,"102,921","42,423,151",0404 939 861,2110,Oud Sluisstraat 5,+32 3 360 14 00,www.chicago-metallic.com,info@chicago-metallic.be
87.,BOUTS,HASSELT,46710,29,"102,280","21,108,195",0406 781 475,3500,Scheepvaartkaai 15,+32 11 22 69 01,www.boutsnv.be,dispatch@bouts-petroleumproducten.be
88.,DICAR,KASTERLEE,45113,89,"101,694","38,436,509",0434 052 630,2460,Houtum 51,+32 14 57 99 99,www.dicar.be,info@dicar.be
89.,STUBBE TOBACCO TRADING,ZONNEBEKE,46350,19,"101,563","28,590,716",0863 869 924,8980,Beselarestraat 184 b.2,+32 57 46 89 47,www.stubbetobaccotrading.com,
90.,ELEGANT,MECHELEN,35140,20,"101,018","28,804,849",0899 305 113,2800,Kleine Nieuwedijkstraat 53,+32 15 48 11 30,www.elegant.be,
91.,HAMANN INTERNATIONAL LOGISTICS,WETTEREN,52290,157,"100,706","41,995,158",0873 604 566,9230,Vantegemstraat 3,+32 9 366 35 30,www.en.hamann.be,
92.,OVERSEAS DISTRIBUTION COMPANY,ANTWERPEN,46392,31,"99,786","38,504,444",0423 161 708,2030,Mexicostraat 3,+32 3 545 95 50,www.overseas.be,overseas@overseas.be
93.,EURO MARINE LOGISTICS,STROMBEEK-BEVER,52290,33,"99,750","30,327,621",0835 040 138,1853,Romeinsesteenweg 468,+32 2 268 70 14,,
94.,NOLLENS,KRUISEM,10120,75,"99,432","21,862,783",0432 247 836,9770,Industriezone 5,+32 9 338 52 10,www.nollens.be,
95.,BELCAR,AARTSELAAR,77110,52,"99,247","15,247,557",0431 688 008,2630,Bist 12,+32 3 870 81 32,www.belcar.be,info@belcar.be
96.,STERNOTTE CHARLES,HASSELT,46720,30,"99,103","30,871,758",0421 502 810,3500,Zeilstraat 2,+32 11 22 21 29,,
97.,BIA,OVERIJSE,46620,72,"99,026","32,292,404",0400 618 710,3090,Rameistraat 123,+32 2 689 28 11,www.bia.be,info@bia.be
98.,VERSTIMMO,PITTEM,68201,42,"98,216","41,369,491",0413 850 104,8740,Meulebekestraat 105B,+32 485 784 407,,
99.,GADOT BELGIUM,DESTELDONK,52100,104,"97,653","39,659,136",0455 791 320,9042,Belgicastraat 3,+32 9 255 74 80,www.adpo.com,info@adpo.com
100.,STEVENS RECYCLING,GENK,46772,44,"97,351","33,182,816",0425 029 056,3600,Swinnenwijerweg 26,+32 89 35 27 93,,
101.,GEODIS FF BELGIUM,DEURNE,52249,106,"97,314","26,313,021",0452 384 937,2100,Bisschoppenhoflaan 645,+32 3 328 12 11,,
102.,FRANKY,WORTEGEM,46321,124,"96,636","26,853,067",0416 905 901,9790,Waregemseweg 28,+32 56 68 95 75,www.franky.be,adm@franky.be
103.,DHL FREIGHT (BELGIUM),SCHELLE,49410,179,"96,253","25,230,413",0401 264 551,2627,Brandekensweg 2,+32 2 255 12 11,www.dhl.com,
104.,BELKI,AALST,10120,159,"95,106","26,000,984",0424 855 050,9300,Wijngaardveld 50,+32 53 70 95 11,www.belki.be,
105.,SANDOZ,VILVOORDE,46460,116,"94,608","42,897,004",0457 517 227,1800,Medialaan 40,+32 800 322 15,www.biochemie.com,info.belgium@sandoz.com
106.,ROYAL CROWN,GENK,56301,20,"94,543","12,311,445",0456 994 120,3600,Lantmeetersweg 4 6,+32 89 50 07 00,www.crownroyal.com,
107.,BIOFRESH BELGIUM,ASPER,46389,150,"93,928","27,590,665",0438 873 629,9890,Legen Heirweg 51,+32 9 280 78 20,www.biofresh.be,info@biofresh.be
108.,MIG MOTORS,EVERGEM,45113,93,"93,840","35,972,222",0417 891 440,9940,Jacques Paryslaan 18,+32 9 253 49 49,www.migmotors.be,
109.,OLYMPIA,HERNE,10510,165,"93,759","39,143,795",0400 924 952,1540,Steenweg Asse 183,+32 54 51 60 60,www.olympiadairy.be,info@olympiadairy.be
110.,GARAGE VALCKENIER,AALST,45113,94,"93,576","40,066,578",0418 439 885,9300,Siesegemlaan 1,+32 53 71 14 18,www.valckeniergroep.be,
111.,AUTOMOBIELBEDRIJF VAN DOORNE HERENTALS,HERENTALS,45113,119,"93,167","15,646,048",0476 310 184,2200,Toekomstlaan 1,,,
112.,MACSYS,DENDERMONDE,46520,40,"93,023","40,573,846",0437 343 702,9200,Hoogveld 10,+32 52 25 80 25,www.medina.be,
113.,BENS,OEVEL,46321,39,"92,359","29,175,001",0404 141 788,2260,Nijverheidsstraat 24,+32 14 28 28 28,www.bens.be,info@bens.be
114.,GADUS,NIEUWPOORT,10200,90,"92,198","25,606,767",0439 570 544,8620,Toevluchtweg 15,+32 58 22 39 00,www.gadus.be,info@gadus.be
115.,SIGNPOST BELGIE,LOKEREN,62020,56,"91,681","34,476,584",0886 007 502,9160,Wolfsakker 5 b.A,+32 3 327 30 75,,
116.,JANS BUILDING DISTRIBUTION,KERMT,46731,119,"91,246","35,702,947",0400 953 260,3510,Lummense Kiezel 78,+32 479 797 070,,info@jan.be
117.,WINSOL,IZEGEM,46739,128,"91,041","24,905,031",0426 996 671,8870,Roeselaarsestraat 542,+32 475 915 883,www.winsol.be,info@winsol.be
118.,WINDIAM,ANTWERPEN,46480,22,"90,895","29,412,775",0444 250 793,2018,Hoveniersstraat 53 b.18,+32 475 266 444,www.windiam.net,info@windiam.net
119.,ARKOVA,KOOLSKAMP,01461,36,"90,641","23,444,670",0435 218 016,8851,Knijffelingstraat 15,+32 51 74 49 51,www.danis.be,info@danis.be
120.,GARAGE & CARROSSERIE VANHOECKE,SINT-NIKLAAS,45201,66,"90,343","26,651,289",0442 327 126,9100,Prins Boudewijnlaan 117,+32 3 778 03 03,www.peugeot.be,vanhoecke.st-niklaas@peugeot.be
121.,BEGRO,ARDOOIE,10393,131,"89,881","40,837,709",0425 237 904,8850,Tombrugstraat 8 b.BIS,+32 51 74 49 01,,
122.,BONDUELLE NORTHERN EUROPE,KORTEMARK,10391,45,"89,776","20,912,211",0413 074 894,8610,Amersveldestraat 21A,+32 51 46 02 70,www.bonduelle.be,
123.,EXOLON GROUP,TIELT,22210,166,"89,672","38,397,023",0425 026 680,8700,Wakkensesteenweg 47,+32 51 42 62 00,www.bayersheeteurope.com/,sales@bayersheeteurope.com
124.,CRONOS,KONTICH,62020,19,"88,323","20,965,067",0443 807 959,2550,Veldkant 35 b.D,+32 3 450 80 30,www.cronos.be,info@cronos.be
125.,ARCELORMITTAL CONSTRUCTION BELGIUM,GEEL,25502,109,"88,216","37,137,916",0450 472 948,2440,Lammerdries 8,+32 14 56 39 43,www.colorprofil.be,
126.,JORSSEN ZUID,AARTSELAAR,45113,44,"88,150","23,557,279",0404 265 811,2630,Antwerpsesteenweg 126,+32 3 820 74 00,www.jorssen.be,info@jorssen.net.bmw.be
127.,ALGEMENE ONDERNEMING M.VANDERSTRAETEN,LUMMEN,41203,138,"87,975","40,107,772",0400 983 152,3560,Europaweg 11,+32 11 43 14 12,www.vanderstraete.be,info@vanderstraeten.be
128.,VAN HOOREBEKE TIMBER,GENT,46732,31,"87,683","42,319,727",0400 114 805,9042,Vasco da Gamalaan 1,+32 9 253 86 61,www.vanhoorebeke.com,info.timber@vanhoorebeke.com
129.,ALTEZ,TIELT,41203,128,"87,665","29,930,422",0452 418 589,8700,Szamotulystraat 5,+32 51 25 99 99,www.agrinbo.be,info@agrinbo.be
130.,HARVEY NASH IT CONSULTING,GROOT-BIJGAARDEN,62020,93,"87,362","26,540,016",0451 787 990,1702,Nieuwe Gentsesteenweg 21 b.3,+32 2 463 14 30,www.harveynash.com,info@harveynash.be
131.,TK HOME SOLUTIONS,SINT-DENIJS-WESTREM,43299,72,"86,170","41,701,317",0427 401 202,9051,Buchtenstraat 9 b.302,+32 800 990 82,www.tlk.nl,info@thyssendereus.be
132.,TANK - TERMINAL,LOKEREN,47300,13,"86,111","17,449,960",0421 194 388,9160,Dijkstraat 9,+32 9 348 49 25,www.tankterminal.be,info@tankterminal.be
133.,DSM NUTRITIONAL PRODUCTS,DEINZE,10910,72,"85,936","26,692,235",0437 589 962,9800,Dorpsstraat 4,+32 9 381 12 20,www.roche.com,
134.,ANTWERP CARGO MOVERS,MERKSEM,52290,18,"85,919","12,003,638",0661 902 066,2170,Terlindenhofstraat 36,+32 3 500 34 40,,
135.,FLOREAC,LOCHRISTI,46220,84,"85,748","12,316,130",0421 712 250,9080,Beerveldse Baan 4,+32 9 345 00 12,www.floreac.com,floreac@floreac.com
136.,SQM INTERNATIONAL,ANTWERPEN,46752,30,"85,393","28,317,247",0679 479 258,2030,Houtdok-Noordkaai 25A,+32 3 203 97 00,,
137.,VANDENBUSSCHE,AALTER,43120,159,"85,339","35,284,749",0433 164 683,9880,Groendreef 21,+32 485 608 616,www.nvvandenbussche.be,info@nvvandenbussche.be
138.,PURMO GROUP BELGIUM,ZONHOVEN,25210,216,"85,335","25,358,326",0401 340 765,3520,Vogelsancklaan 250,+32 11 81 31 41,www.radson.com,info@radson.be
139.,LEGRAND GROUP BELGIUM,ZAVENTEM,46693,125,"85,334","25,478,889",0403 114 380,1930,Hector Henneaulaan 366,+32 16 40 69 87,www.legrand.be,info.be@legrand.be
140.,VLEESGROOTHANDEL RIMA,MECHELEN,46321,52,"85,065","17,628,838",0431 290 704,2800,Slachthuislaan 1,+32 15 28 00 90,,
141.,DOOSAN INDUSTRIAL VEHICLE EUROPE,SINT-NIKLAAS,46694,44,"84,585","39,467,678",0836 669 342,9100,Europark-Noord 36 A,+32 3 344 27 04,,
142.,CAIROX BELGIUM,ZAVENTEM,46693,176,"84,505","36,427,768",0451 428 496,1930,Hoogstraat 180,+32 2 711 94 01,www.airtradecentre.com,sales.belgium@airtradecentre.com
143.,ULTRAPOLYMERS GROUP,LOMMEL,46769,11,"84,294","42,789,258",0478 392 914,3920,Gerard Mercatorstraat 90,+32 11 57 95 57,www.ultrapolymers.com,ultra@ultrapolymers.com
144.,HEDIN AUTOMOTIVE ANTWERPEN,SINT-NIKLAAS,45113,77,"83,149","39,124,943",0422 272 078,9100,Industriepark-Noord 2,+32 3 353 22 24,www.mercedes-benz.be,info@antwerpen.mercedes-benz.be
145.,CAPRA,HALEN,10510,100,"83,104","23,236,358",0446 038 167,3545,Stadsbeemd 1021,+32 13 46 17 99,,capra@wol.be
146.,EFTEC,GENK,29320,84,"82,823","26,238,693",0424 862 077,3600,Henry Fordlaan 1,+32 89 65 14 00,www.eftec.ch,
147.,ASOGEM,MECHELEN,46431,53,"82,418","37,101,050",0425 608 680,2800,Schaliënhoevedreef 26,+32 3 870 86 86,www.asogem.be,asogem@asogem.be
148.,GREIF BELGIUM,LIER,25910,162,"82,275","21,013,090",0407 237 771,2500,Bollaarstraat 6,+32 3 491 06 20,www.valeron.com,info.belgium@greif.com
149.,BOSCH THERMOTECHNOLOGY,MECHELEN,46742,186,"82,274","27,167,935",0403 598 687,2800,Zandvoortstraat 47,+32 15 46 57 00,,info@buderus.be
150.,SOBINCO,ZULTE,25120,65,"81,565","42,428,569",0453 198 846,9870,Waregemstraat 5,+32 9 388 88 81,www.sobinco.be,commercial@sobinco.com
151.,ALGEMENE BOUW MAES,GENT,41203,101,"81,560","27,234,584",0885 778 858,9000,Foreestelaan 86 b.101,+32 3 340 17 11,www.algemenebouwmaes.be,
152.,NIPPON EXPRESS (BELGIUM),MACHELEN (BT.),52290,128,"81,271","37,081,063",0424 188 423,1830,Bedrijven Machelen-Cargo 738-1,+32 2 753 02 02,www.nipponexpress.net,
153.,DEXIS BELGIUM,HASSELT,46620,117,"81,259","22,368,466",0446 444 775,3500,Voogdijstraat 33,+32 11 28 82 22,www.imes.be,info.antwerpen@imes.be
154.,BESTSELLER WHOLESALE BELGIUM,ANTWERPEN,46423,60,"81,163","30,685,050",0860 028 526,2000,Keizerstraat 9,+32 3 225 56 03,,
155.,VAN OSCH HASSELT,HASSELT,45113,40,"80,924","29,046,812",0474 197 465,3500,Scheepvaartkaai 14,+32 11 21 15 10,www.dealer.bmw.be,info@vanoschhasselt.net.bmw.be
156.,KRAMP,LUMMEN,46610,47,"80,836","10,096,987",0444 638 397,3560,Klaverbladstraat 24,+32 13 53 11 11,,
157.,VF BELGIUM,BERCHEM-ANTWERPEN,46423,74,"80,788","10,907,451",0666 523 226,2600,Posthofbrug 2-4,+32 3 227 05 70,www.vfc.com,
158.,MATHIEU GIJBELS,OUDSBERGEN,41203,195,"80,614","27,188,815",0413 753 894,3660,Industrieweg-Noord 1161,+32 89 81 91 00,www.gijbels.be,company@gijbels.be
159.,APF AUTOPARTS,ZOTTEGEM,45310,90,"80,525","22,504,804",0469 492 272,9620,Keistraat 3,+32 54 50 32 50,www.apfautoparts.com,autoparts.flanders@skynet.be
160.,BROEIERIJ EN PLUIMVEEBEDRIJF LAFAUT,BESELARE,01471,13,"80,493","10,829,886",0413 611 265,8980,Klokhofstraat 13,+32 57 46 65 32,www.broeierij-lafaut.be,
