,Naam,Gemeente,"Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Omzet
EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",WCM - Naam,Telefoon,E-mail adres,"BvD ID
nummer","Netto toegevoegde waarde
EUR
Laatst beschikb. jr",Ondernemingsnummer,Adres,Postcode,Web adres,"Ibid, omschrijving",Beursnotatie
11,EURO MARINE LOGISTICS,STROMBEEK-BEVER,33,98465524,36960753,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 268 70 14,,BE0835040138,4984053,0835 040 138,Romeinsesteenweg 468,1853,,Goederenvervoer over zee- en kustwateren,Niet beursgenoteerd
12,SMT BELGIUM,VILVOORDE,127,98074768,30545080,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 254 14 11,info@vcmbelgium.be,BE0434815960,29492301,0434 815 960,Woluwelaan 9,1800,www.vcmbelgium.be,"Detailhandel in andere motorvoertuigen (> 3,5 ton)",Niet beursgenoteerd
13,HARVEY NASH IT CONSULTING,GROOT-BIJGAARDEN,109,92915795,29521002,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 463 14 30,info@harveynash.be,BE0451787990,7524539,0451 787 990,Nieuwe Gentsesteenweg 21 b.3,1702,www.harveynash.com,Arbeidsbemiddeling,Niet beursgenoteerd
14,GEBERIT,MEISE,56,90733325,17014404,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 252 01 11,info@geberit.be,BE0408463337,11624779,0408 463 337,Ossegemstraat 24,1860,www.geberit.be,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
15,KIM'S CHOCOLATES,TIENEN,170,79340261,29630954,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 55 15 80,,BE0479966787,18223202,0479 966 787,Grijpenlaan 11,3300,www.kimchoc.be,"Vervaardiging van cacao, chocolade en suikerwerk",Niet beursgenoteerd
16,LEGRAND GROUP BELGIUM,ZAVENTEM,121,77639779,25193252,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 40 69 87,info.be@legrand.be,BE0403114380,22017279,0403 114 380,Hector Henneaulaan 366,1930,www.legrand.be,Vervaardiging van elektromotoren en van elektrische generatoren en transformatoren,Niet beursgenoteerd
17,GLS BELGIUM DISTRIBUTION,DROGENBOS,242,76915417,42390861,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 39 50 68,,BE0883914874,22400073,0883 914 874,Humaniteitslaan 233,1620,,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven",Niet beursgenoteerd
18,WHIRLPOOL BELUX,STROMBEEK-BEVER,79,76457962,37161492,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 263 33 83,info@email.whirlpool.com,BE0423029569,7140824,0423 029 569,Nijverheidslaan 3 b.1,1853,www.whirlpool.com,Groothandel in elektrische huishoudelijke apparaten en audio- en videoapparatuur,Niet beursgenoteerd
19,BACARDI-MARTINI N.V.,VILVOORDE,87,75940726,29028429,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 897 90 99,,BE0405839783,14245554,0405 839 783,Medialaan 50,1800,www.bacardi.com,Handelsbemiddeling in voedings- en genotmiddelen,Niet beursgenoteerd
20,DR.OETKER,DIEGEM,39,74277714,27348061,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 725 36 37,info@oetker.be,BE0405670727,12516057,0405 670 727,De Kleetlaan 7b b.1,1831,,"Groothandel in andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
21,JENNES,BOORTMEERBEEK,45,74169750,23265390,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 60 21 34,info@jennes.vw.be,BE0425053802,4066373,0425 053 802,Leuvensesteenweg 369,3190,www.jennes.com,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
22,CAIROX BELGIUM,ZAVENTEM,160,71793365,31170567,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 725 31 80,sales.belgium@airtradecentre.com,BE0451428496,17852359,0451 428 496,Hoogstraat 180,1930,www.airtradecentre.com,"Groothandel in elektrisch materiaal, inclusief installatiemateriaal",Niet beursgenoteerd
23,ATLAS-COPCO-BELGIUM,OVERIJSE,157,70179123,34120728,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 689 05 11,info@atlascopco.com,BE0400617324,17099318,0400 617 324,Brusselsesteenweg 346,3090,www.atlascopco.be,"Groothandel in andere machines en werktuigen, n.e.g.",Niet beursgenoteerd
24,PLASTIC OMNIUM AUTOMOTIVE BELGIUM,SINT-PIETERS-LEEUW,88,70023179,19253427,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0644938548,5187077,0644 938 548,Drie Fonteinenstraat 17,1600,,Vervaardiging van andere delen en toebehoren van motorvoertuigen,Niet beursgenoteerd
25,BIA,OVERIJSE,74,68098208,28071474,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 689 28 11,info@bia.be,BE0400618710,5904372,0400 618 710,Rameistraat 123,3090,www.bia.be,Groothandel in gereedschapswerktuigen,Niet beursgenoteerd
26,OLYMPIA,HERNE,165,67667236,32382860,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 54 51 60 60,info@olympiadairy.be,BE0400924952,10038143,0400 924 952,Steenweg Asse 183,1540,www.olympiadairy.be,Zuivelfabrieken en kaasmakerijen,Niet beursgenoteerd
27,COMPUTA CENTER,ZAVENTEM,184,67422443,23739737,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 704 94 11,infobelgium@computacenter.com,BE0466288601,15990230,0466 288 601,Ikaroslaan 31,1930,www.computacenter.com,Computerconsultancy-activiteiten,Niet beursgenoteerd
28,VAN DER ERVE,ZAVENTEM,16,67127447,27930738,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 725 73 63,info@vandererve.be,BE0440795120,6717369,0440 795 120,Weiveldlaan 41,1930,www.vandererve.be,Groothandel in huishoudtextiel en beddengoed,Niet beursgenoteerd
29,FENZI BELGIUM,VILVOORDE,99,66404829,37493226,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0866763393,15534561,0866 763 393,Gustaaf Levisstraat 25,1800,www.fenzi.be,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek",Niet beursgenoteerd
30,AC BRUSSELS,OVERIJSE,75,65612068,18728933,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 712 60 20,,BE0821129645,5935714,0821 129 645,Brusselsesteenweg 343,3090,www.acbrussels-diplomatsales.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
31,SKF BELGIUM,DIEGEM,105,65530942,31657153,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 729 66 11,,BE0830910611,14987052,0830 910 611,Berkenlaan 8C,1831,www.skf.com,Groothandel in gereedschapswerktuigen,Niet beursgenoteerd
32,VWR INTERNATIONAL EUROPE,HEVERLEE,74,65261091,27914981,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 38 50 11,,BE0478391924,12807072,0478 391 924,Geldenaaksebaan 464,3001,,Diverse administratieve activiteiten ten behoeve van kantoren,Niet beursgenoteerd
33,OMRIX BIOPHARMACEUTICALS,DIEGEM,2,64266838,33261640,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 359 91 23,,BE0455883073,3642449,0455 883 073,Leonardo da Vincilaan 15,1831,www.jnjcareers.co.il,Groothandel in farmaceutische producten,Niet beursgenoteerd
34,ABBOTT MEDICAL BELGIUM,ZAVENTEM,86,63307162,31102575,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 774 69 00,,BE0441665942,16979606,0441 665 942,Da Vincilaan 11 b.F1,1930,www.sjmglobal.com,Groothandel in farmaceutische producten,Niet beursgenoteerd
35,MENARINI BENELUX,DIEGEM,154,62045653,34591299,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 721 45 45,mail@menarini.be,BE0403075481,27842542,0403 075 481,De Kleetlaan 3,1831,,Groothandel in farmaceutische producten,Niet beursgenoteerd
36,SOURCE AUTOMATION BELGIUM,DIEGEM,6,61490289,26260367,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 721 41 98,,BE0845858707,477690,0845 858 707,Jan-Emiel Mommaertslaan 22 b.1,1831,www.source.nl,Arbeidsbemiddeling,Niet beursgenoteerd
37,NIPPON EXPRESS (BELGIUM),MACHELEN (BT.),125,59413863,33320357,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 753 02 02,,BE0424188423,14798892,0424 188 423,Bedrijven Machelen-Cargo 738-1,1830,www.nipponexpress.net,Overige vervoerondersteunende activiteiten,Niet beursgenoteerd
38,NOVASOL,KRAAINEM,15,58750722,25357169,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 769 70 70,info@novasol.be,BE0460802557,3455864,0460 802 557,Steenweg op Mechelen 455,1950,www.novasolchemicals.com,Groothandel in chemische producten voor industrieel gebruik,Niet beursgenoteerd
39,ZIMMER BIOMET,DIEGEM,120,58750594,29949980,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 456 12 23,zimmer.belgium@zimmer.com,BE0474708991,17578623,0474 708 991,Culliganlaan 2A,1831,www.zimmer.com,Groothandel in farmaceutische producten,Niet beursgenoteerd
40,MEDA PHARMA,HOEILAART,41,58345072,35048293,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 658 61 00,info@viatris.be,BE0403048064,18571191,0403 048 064,Terhulpsesteenweg 6A,1560,www.viatris.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
41,MEDIBEL,ZAVENTEM,6,57284726,34551148,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 725 19 20,medibel@medibel.be,BE0403181686,217131,0403 181 686,Tuinwijkstraat 65 b.1,1930,www.medibel.com,"Groothandel in andere voedingsmiddelen, n.e.g.",Niet beursgenoteerd
42,HOSPITAL LOGISTICS,AARSCHOT,104,57200886,24702364,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 56 47 44,info@hospitallogistics.be,BE0457151892,6102120,0457 151 892,Gaston Geenslaan 33,3200,www.hospitallogistics.be,Opslag in koelpakhuizen en overige opslag,Niet beursgenoteerd
43,DOYEN AUTO BELGIUM,DROGENBOS,32,56852560,17108312,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 526 22 51,,BE0895469554,3161155,0895 469 554,Wolfgang A. Mozartlaan 8,1620,,Handelsbemiddeling en groothandel in onderdelen en accessoires van motorvoertuigen,Niet beursgenoteerd
44,CONNECTSYSTEMS,KAMPENHOUT,128,56526552,41750711,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 61 89 20,info@connectsystems.be,BE0432392544,6893601,0432 392 544,Industriestraat 4,1910,www.connectsystems.be,Vervaardiging van andere elektrische en elektronische kabels,Niet beursgenoteerd
45,SCOTT SPORTS BELUX,KORTENBERG,12,55929843,14707148,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 755 93 20,,BE0438398032,5986941,0438 398 032,Karel Van Miertstraat 7,3070,www.scott-benelux.com,Groothandel in fietsen,Niet beursgenoteerd
46,MERCEDES - BENZ DROGENBOS,DROGENBOS,73,55029652,30265297,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 558 16 32,info@drogenbos.mercedes-benz.be,BE0412595735,3255778,0412 595 735,Grote Baan 340,1620,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
47,DELOITTE GLOBAL TAX CENTER (EUROPE),BRUCARGO (ZAVENTEM),147,53944260,21359129,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 600 65 62,,BE0835959064,14134240,0835 959 064,Bedrijven Machelen-Cargo 1 J,1931,,Accountants en belastingconsulenten,Niet beursgenoteerd
48,GENERAL MOBILITY SERVICES,HEVERLEE,50,53858727,9750022,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 494 121 298,,BE0861469371,4764813,0861 469 371,Ambachtenlaan 4,3001,www.gmsleuven.mercedes.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
49,SIMAC,KORTENBERG,148,53463185,25481846,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 608 00 50,info@simac.be,BE0441532023,12808632,0441 532 023,Arthur De Coninckstraat 5,3070,,Overige diensten op het gebied van informatietechnologie en computer,Niet beursgenoteerd
50,PHD MEDIA,ZAVENTEM,18,52702622,23135553,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 678 25 52,,BE0461882326,-31489,0461 882 326,Excelsiorlaan 75-77,1930,www.omd.be,Reclamebureaus,Niet beursgenoteerd
51,CENTRAL POINT BELGIE,AARSCHOT,34,52582173,15660765,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 79 62 00,,BE0841648610,5135497,0841 648 610,Nieuwlandlaan 111,3200,www.centralpoint.be,Detailhandel via postorderbedrijven of via internet,Niet beursgenoteerd
52,PAPYRUS BELGIUM PAPIER,GROOT-BIJGAARDEN,67,52446280,23743740,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 529 85 98,info.be@papyrus.com,BE0426246407,5349366,0426 246 407,Noordkustlaan 16C,1702,,Groothandel in kantoor- en schoolbenodigdheden,Niet beursgenoteerd
53,ERVE BUYING,ZAVENTEM,7,51993964,35360314,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 725 55 55,,BE0881901036,3676586,0881 901 036,Weiveldlaan 41 b.21,1930,,"Groothandel in kleding, met uitzondering van werk- en onderkleding",Niet beursgenoteerd
54,BUMACO KOELTECHNIEK,ROTSELAAR,170,50693141,26329043,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 55 33 00,,BE0455064414,12683816,0455 064 414,Stationsstraat 216,3110,www.bumaco.be,"Installatie van verwarming, klimaatregeling en ventilatie",Niet beursgenoteerd
55,NVENT THERMAL BELGIUM,HEVERLEE,118,50690972,40157491,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 21 35 11,,BE0476282965,19899198,0476 282 965,Romeinse Straat 14,3001,www.tycothermal.be,"Groothandel in andere machines en werktuigen, n.e.g.",Niet beursgenoteerd
56,BOUW.PUNT DE DONCKER,AFFLIGEM,85,50512371,19982154,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 54 32 19 99,info@dedoncker.be,BE0432284161,7736812,0432 284 161,Bellestraat 24,1790,www.dedoncker.be,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
57,EVOBUS BELGIUM,KOBBEGEM,49,50389610,31273136,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 454 02 80,info@evobus.com,BE0421435405,6610442,0421 435 405,Z. 4 Broekooi 270,1730,www.evobus.com,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
58,GAASCH PACKAGING,MOLLEM,36,50066316,21894637,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 454 14 11,info@gaasch.be,BE0404889282,3911783,0404 889 282,Z. 5 Mollem 530,1730,,Groothandel in niet-elektrische huishoudelijke artikelen,Niet beursgenoteerd
59,HYDRO BUILDING SYSTEMS BELGIUM,LANDEN,197,49139355,28323007,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 69 03 11,info@rcsystem.com,BE0428769494,15751430,0428 769 494,Roosveld 11,3400,www.rcsystem.be,Vervaardiging van ijzer en staal en van ferrolegeringen,Niet beursgenoteerd
60,ESTEE LAUDER COSMETICS,DIEGEM,218,48973991,17426598,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 716 85 11,,BE0403769032,15548098,0403 769 032,Leonardo da Vincilaan 19 C b.2,1831,www.clinique.com,Groothandel in parfumerieën en cosmetica,Niet beursgenoteerd
61,PI PHARMA,SINT-PIETERS-LEEUW,14,48915933,14673972,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 800 181 21,,BE0883315652,4337253,0883 315 652,Bergensesteenweg 709,1600,www.pipharma.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
62,KONICA MINOLTA BUSINESS SOLUTIONS (BELGIUM) NV/SA,DIEGEM,223,48883192,42845277,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 717 08 11,,BE0863205176,18711431,0863 205 176,Berkenlaan 8A-B,1831,,Overige diensten op het gebied van informatietechnologie en computer,Niet beursgenoteerd
63,TROPICANA EUROPE,ZAVENTEM,106,48778419,125412005,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 663 33 33,,BE0433279402,17117388,0433 279 402,Da Vincilaan 3,1930,,Overige vervoerondersteunende activiteiten,Niet beursgenoteerd
64,T.C.R. INTERNATIONAL,MELSBROEK,60,48771926,448852904,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 752 86 20,info@tcr-group.com,BE0465870115,48778501,0465 870 115,Vliegveld 109,1820,www.tcr-group.com,Verhuur en lease van andere machines en werktuigen en andere materiële goederen,Niet beursgenoteerd
65,SCHIETSE,GROOT-BIJGAARDEN,56,48616310,14596052,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 481 71 00,info@schietse.com,BE0407565096,3209230,0407 565 096,Brusselstraat 125,1702,www.schietse.com,"Groothandel in vlees en vleesproducten, uitgezonderd vlees van wild en van gevogelte",Niet beursgenoteerd
66,ANDRE CELIS,LUBBEEK,46,48161146,32831483,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 62 97 57,info@celis.be,BE0430744534,3593249,0430 744 534,Staatsbaan 119,3210,www.andrecelis.be,"Groothandel in bouwmaterialen, algemeen assortiment",Niet beursgenoteerd
67,OTIS,GROOT-BIJGAARDEN,244,47525888,89732103,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 465 15 30,,BE0400388581,21621545,0400 388 581,Stationsstraat 34,1702,,"Overige bouwinstallatie, n.e.g.",Niet beursgenoteerd
68,JENNES MACHELEN,MACHELEN (BT.),42,47384845,13132283,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 61 86 13,,BE0443176271,3065471,0443 176 271,Leuvensesteenweg 22,1830,www.jennes.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
69,LIVANOVA BELGIUM,ZAVENTEM,34,47087283,35844318,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 245 37 90,,BE0403011739,9568946,0403 011 739,Ikaroslaan 83,1930,www.globe.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
70,MERCK,OVERIJSE,61,46770171,25980928,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 686 07 11,info@merck.be,BE0403047965,20429433,0403 047 965,Brusselsesteenweg 288,3090,www.merck.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
71,MEDIA MARKT - SATURN BELGIUM,ZELLIK,224,46663137,144574867,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 464 37 55,,BE0477140426,22093787,0477 140 426,Brusselsesteenweg 496 b.2,1731,www.mediamarkt.com,Holdings,Niet beursgenoteerd
72,EMERSON PROCESS MANAGEMENT,DIEGEM,121,46256708,80497298,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 716 77 11,info.belgium@emersonprocess.com,BE0419044354,17513831,0419 044 354,De Kleetlaan 7 B,1831,www.emersonprocess.be,"Groothandel in elektrisch materiaal, inclusief installatiemateriaal",Niet beursgenoteerd
73,GARAGE DON BOSCO,BUIZINGEN,51,46103405,10777082,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 356 40 44,,BE0826288857,4392997,0826 288 857,Alsembergsesteenweg 162,1501,,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
74,HCL TECHNOLOGIES BELGIUM,SINT-STEVENS-WOLUWE,116,45943194,26862274,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 717 66 00,,BE0542547130,16641400,0542 547 130,Lozenberg 22 b.3,1932,,Computerconsultancy-activiteiten,Niet beursgenoteerd
75,TRANSMEAT,LONDERZEEL,48,45914542,10242175,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 52 31 91 61,info@transmeat.be,BE0451150859,5659033,0451 150 859,Oudemanstraat 15,1840,www.transmeat.be,"Groothandel in vlees en vleesproducten, uitgezonderd vlees van wild en van gevogelte",Niet beursgenoteerd
76,TEXET BENELUX,AARSCHOT,48,45781143,30257042,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 57 11 57,info@texet.be,BE0415734872,9843998,0415 734 872,Nieuwlandlaan 97,3200,www.texet.be,Groothandel in werkkleding,Niet beursgenoteerd
77,MYLAN EPD,HOEILAART,32,45616289,86653828,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 658 61 00,,BE0564907115,17030065,0564 907 115,Terhulpsesteenweg 6A,1560,,Groothandel in farmaceutische producten,Niet beursgenoteerd
78,DEVOS GROUP,BEKKEVOORT,30,45298706,31783321,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 77 97 58,,BE0867270070,6726504,0867 270 070,Eugeen Coolsstraat 66,3460,devosgroup.be,Activiteiten met betrekking tot gewassen na de oogst,Niet beursgenoteerd
79,ERNST & YOUNG CORE BUSINESS SERVICES,DIEGEM,228,45270443,28274330,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 774 91 11,,BE0735655027,21626592,0735 655 027,De Kleetlaan 2,1831,,Activiteiten van hoofdkantoren,Niet beursgenoteerd
80,AB AUTOMOTIVE,VILVOORDE,43,45269096,16834945,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 254 03 10,ambel@skynet.be,BE0463370780,2882256,0463 370 780,Mechelsesteenweg 295,1800,ab-automotive.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
81,PACAPIME,HALLE,113,45149158,73272456,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 356 73 41,pacapime@pacapime.be,BE0442338311,13514176,0442 338 311,Noorderstraat 1,1500,www.pacapime.be,Vervaardiging van papier en karton,Niet beursgenoteerd
82,AUTODISTRIBUTION INTERNATIONAL,KORTENBERG,4,44959361,24367363,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 759 29 95,adi@mail.adi.be,BE0440739393,558152,0440 739 393,Leuvensesteenweg 272,3070,www.ad-europe.com,Holdings,Niet beursgenoteerd
83,ANDRE AUTOMOTIVE,ASSE,40,44886276,16209879,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 454 06 23,,BE0477562870,3767756,0477 562 870,Nerviërsstraat 93,1730,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
